og_grp	tid	acc
og255_1_1	9610|T135-R1	9610
og255_1_1	5784|T074-R1	5784
og255_1_1	9550|T229-R1	9550
og255_1_1	9557|T272-R1	9557
og255_1_1	1925|T208-R1	1925
og255_1_1	9721|T125-R1	9721
og255_1_1	9533|T195-R1	9533
og255_1_1	9580|T162-R1	9580
og255_1_1	9518|T074-R1	9518
og255_1_1	9879|T161-R1	9879
og82_1_1	9658|T355-R1	9658
og82_1_1	5993|T040-R1	5993
og82_1_1	6899|T080-R1	6899
og82_1_1	6974|T096-R1	6974
og82_1_1	7328|T111-R1	7328
og82_1_1	9332|T056-R1	9332
og82_1_1	9518|T358-R1	9518
og82_1_1	9654|T083-R1	9654
og82_1_1	9600|T335-R1	9600
og82_1_1	9550|T104-R1	9550
og82_1_1	1925|T157-R1	1925
og82_1_1	6939|T346-R1	6939
og82_1_1	7416|T054-R1	7416
og82_1_1	9597|T105-R1	9597
og82_1_1	7067|T302-R1	7067
og82_1_1	9669|T340-R1	9669
og82_1_1	9764|T499-R1	9764
og82_1_1	10015|T054-R1	10015
og82_1_1	6906|T114-R1	6906
og82_1_1	108|T119-R1	108
og82_1_1	6981|T099-R1	6981
og82_1_1	5784|T058-R1	5784
og82_1_1	9537|T081-R1	9537
og82_1_1	9837|T094-R1	9837
og82_1_1	9762|T130-R1	9762
og82_1_1	6924|T314-R1	6924
og82_1_1	9557|T410-R1	9557
og82_1_1	9554|T265-R1	9554
og82_1_1	9887|T383-R1	9887
og82_1_1	9583|T314-R1	9583
og82_1_1	9536|T174-R1	9536
og82_1_1	9545|T388-R1	9545
og82_1_1	7417|T233-R1	7417
og82_1_1	9100|T348-R1	9100
og82_1_1	7273|T300-R1	7273
og82_1_1	7288|T155-R1	7288
og82_1_1	9784|T074-R1	9784
og82_1_1	9792|T138-R1	9792
og82_1_1	7308|T245-R1	7308
og82_1_1	7063|T088-R1	7063
og82_1_1	7186|T285-R1	7186
og82_1_1	9879|T093-R1	9879
og82_1_1	9533|T364-R1	9533
og82_1_1	9542|T272-R1	9542
og82_1_1	9871|T346-R1	9871
og82_1_1	7413|T093-R1	7413
og82_1_1	7213|T067-R1	7213
og82_1_1	7322|T293-R1	7322
og82_1_1	6909|AT2G17060.1	6909
og82_1_1	7396|T075-R1	7396
og82_1_1	9543|T357-R1	9543
og82_1_1	9549|T256-R1	9549
og82_1_1	9580|T442-R1	9580
og82_1_1	9869|T315-R1	9869
og82_1_1	9944|T309-R1	9944
og140_1_1	9600|T046-R1	9600
og140_1_2	9887|T146-R1	9887
og140_1_2	9554|T121-R1	9554
og140_1_2	9549|T276-R1	9549
og140_1_2	9536|T366-R1	9536
og140_1_3	9518|T094-R1	9518
og140_1_3	9557|T047-R1	9557
og140_1_3	9583|T085-R1	9583
og140_1_3	9947|T020-R1	9947
og140_1_4	6974|T082-R1	6974
og140_1_4	6899|T139-R1	6899
og140_1_4	7373|T054-R1	7373
og140_1_4	7067|T054-R1	7067
og140_1_4	7058|T116-R1	7058
og140_1_4	7213|T073-R1	7213
og140_1_4	9721|T171-R1	9721
og140_1_4	7063|T044-R1	7063
og140_1_4	9654|T055-R1	9654
og140_1_4	9100|T178-R1	9100
og140_1_4	108|T083-R1	108
og140_1_4	1925|T161-R1	1925
og140_1_4	6924|T036-R1	6924
og140_1_4	7322|T385-R1	7322
og140_1_4	7396|T072-R1	7396
og140_1_4	7416|T057-R1	7416
og140_1_4	9580|T050-R1	9580
og140_1_4	6939|T157-R1	6939
og140_1_4	9762|T055-R1	9762
og140_1_4	9764|T073-R1	9764
og140_1_4	9545|T091-R1	9545
og140_1_4	9869|T160-R1	9869
og140_1_4	9784|T070-R1	9784
og140_1_4	7413|T028-R1	7413
og140_1_4	9543|T087-R1	9543
og140_1_4	5993|T157-R1	5993
og140_1_4	7308|T061-R1	7308
og140_1_4	9792|T219-R1	9792
og140_1_4	9911|T202-R1	9911
og140_1_4	6981|T106-R1	6981
og140_1_4	9597|T092-R1	9597
og140_1_4	9658|T052-R1	9658
og140_1_4	10015|T153-R1	10015
og140_1_4	7417|T089-R1	7417
og140_1_4	6909|AT1G56520.2	6909
og140_1_4	7415|T126-R1	7415
og140_1_4	7167|T125-R1	7167
og17_3_1	108|T410-R1	108
og17_3_1	6924|T404-R1	6924
og17_3_1	6939|T342-R1	6939
og17_3_1	7213|T407-R1	7213
og17_3_1	7288|T394-R1	7288
og17_3_1	7308|T341-R1	7308
og17_3_1	7328|T468-R1	7328
og17_3_1	9550|T558-R1	9550
og17_3_1	9580|T484-R1	9580
og17_3_1	9669|T465-R1	9669
og17_3_1	9721|T446-R1	9721
og17_3_1	9837|T563-R1	9837
og17_3_1	10015|T335-R1	10015
og17_3_1	9610|T423-R1	9610
og17_3_1	7415|T415-R1	7415
og17_3_1	9583|T344-R1	9583
og17_3_1	9944|T380-R1	9944
og17_3_1	9545|T308-R1	9545
og17_3_1	9869|T450-R1	9869
og17_3_1	9879|T420-R1	9879
og17_3_1	9764|T355-R1	9764
og17_3_1	5993|T348-R1	5993
og17_3_1	6906|T490-R1	6906
og17_3_1	7396|T370-R1	7396
og17_3_1	9100|T536-R1	9100
og17_3_1	9654|T502-R1	9654
og17_3_1	9911|T507-R1	9911
og17_3_1	7111|T508-R1	7111
og17_3_1	7373|T301-R1	7373
og17_3_1	7067|T393-R1	7067
og17_3_1	9537|T324-R1	9537
og17_3_1	7413|T300-R1	7413
og17_3_1	9658|T470-R1	9658
og14_3_1	5993|T359-R1	5993
og14_3_1	6974|T448-R1	6974
og14_3_1	9654|T526-R1	9654
og14_3_1	9518|T405-R1	9518
og14_3_1	9583|T293-R1	9583
og14_3_1	9837|T441-R1	9837
og14_3_1	9869|T366-R1	9869
og14_3_1	9879|T326-R1	9879
og281_1_1	9597|T656-R1	9597
og281_1_2	10015|T018-R1	10015
og281_1_2	7167|T054-R1	7167
og281_1_2	7373|T011-R1	7373
og281_1_2	7416|T021-R1	7416
og281_1_2	7213|T396-R1	7213
og281_1_2	9784|T092-R1	9784
og160_1_1	6899|T026-R1	6899
og160_1_1	7273|T008-R1	7273
og160_1_1	5784|T037.2-R1	5784
og160_1_1	9721|T093-R1	9721
og160_1_1	9554|T058-R1	9554
og160_1_1	9533|T046-R1	9533
og160_1_1	9545|T025-R1	9545
og160_1_1	6909|AT5G46510.1	6909
og160_1_1	1925|T065.2-R1	1925
og160_1_1	7417|T137-R1	7417
og160_1_1	9911|T080-R1	9911
og160_1_1	9669|T018-R1	9669
og160_1_1	6924|T078-R1	6924
og160_1_1	9100|T046-R1	9100
og160_1_1	7328|T054-R1	7328
og160_1_1	7063|T020-R1	7063
og160_1_1	7186|T176-R1	7186
og160_1_1	9557|T036-R1	9557
og160_1_1	9654|T039-R1	9654
og160_1_1	9879|T176-R1	9879
og160_1_1	9762|T284-R1	9762
og160_1_1	9871|T356-R1	9871
og160_1_1	9542|T052-R1	9542
og160_1_1	9947|T187-R1	9947
og160_1_1	9536|T005-R1	9536
og160_1_1	9887|T228-R1	9887
og160_1_1	9792|T076-R1	9792
og160_1_1	9580|T333-R1	9580
og160_1_1	7413|T047-R1	7413
og160_1_1	6906|T063-R1	6906
og160_1_1	9658|T111-R1	9658
og160_1_1	7416|T067-R1	7416
og160_1_1	9764|T091-R1	9764
og160_1_1	9600|T087-R1	9600
og160_1_1	9837|T096-R1	9837
og160_1_1	7167|T250-R1	7167
og160_1_1	9944|T020-R1	9944
og10_5_1	9537|T264-R1	9537
og10_5_1	10015|T258-R1	10015
og10_5_1	9580|T348-R1	9580
og10_5_1	9583|T237-R1	9583
og10_5_1	9100|T353-R1	9100
og10_5_1	7413|T275-R1	7413
og10_5_1	9947|T380-R1	9947
og6_6_1	9583|T101-R1	9583
og6_6_1	9792|T172-R1	9792
og6_6_1	9557|T366-R1	9557
og6_6_1	9600|T091-R1	9600
